,0.5,1,3,6,24
SYMBOL:LIPE,10.619000000000002,10.183,10.49,10.741,10.054
SYMBOL:JUN,10.12,10.015,9.484,9.565,9.594
SYMBOL:RACGAP1,10.027000000000001,10.335999999999999,10.787,10.523,10.231
SYMBOL:HDAC1,15.195,14.786,14.484000000000002,14.505,14.669
SYMBOL:CBL,10.014,10.474,10.527999999999999,10.819,10.431
SYMBOL:NBN,10.279000000000002,10.58,10.737,10.959000000000001,10.307
SYMBOL:CASP3,10.226,10.334000000000001,10.732999999999999,10.868,10.782
SYMBOL:MAP2K3,9.918,10.172,10.548,10.467,9.954
SYMBOL:CALM1,10.033,10.43,10.683,10.777000000000001,10.457
SYMBOL:ZAP70,10.206,10.503,10.668,10.808,10.142000000000001
SYMBOL:VCL,10.04,10.004,10.455,10.335999999999999,10.687000000000001
SYMBOL:HSP90AB1,12.253,12.341,11.659,11.819,12.027000000000001
SYMBOL:MAP2K1,11.119000000000002,10.44,10.481,10.581,10.460999999999999
SYMBOL:GTF2I,10.713,10.775,11.107000000000001,11.375,10.764000000000001
SYMBOL:EIF4EBP1,10.325,10.690999999999999,10.921,11.067,10.630999999999998
SYMBOL:PLCG2,10.394,10.357999999999999,10.82,11.027000000000001,10.593
SYMBOL:PRKD2,9.943,9.936,10.477,10.085,9.713
