,"tp53, akt1, ikbkb: (000, 001, 010, 011, 100, 101, 110, 111)"
1893,00000000
1894,10001110
1895,00001000
1896,11111111
1897,00001100
1898,10001010
1899,10001111
1900,00001000
1901,00001111
1902,00001111
1903,10001010
1904,10001110
1905,11111111
1906,10101010
1907,10101111
1908,00000000
1909,10001110
1910,11001111
1911,10101010
1912,00000000
1913,10001111
1914,00000000
1915,00000000
1916,00001000
1917,11111111
1918,11001110
1919,00000000
1920,00000000
1921,11001111
1922,00001010
1923,00001010
1924,10001110
1925,00000000
1926,11101111
1927,00000000
1928,00001000
1929,10101111
1930,00000000
1931,00000000
1932,00000000
1933,11101111
1934,00001000
1935,00000000
1936,11101111
1937,00000000
1938,10101010
1939,00000000
1940,10101111
1941,11001111
1942,00000000
1943,00000000
1944,00001000
1945,00001000
1946,00000000
1947,00000000
1948,00001000
1949,00001000
1950,00001100
1951,00000000
1952,10101110
1953,11101111
1954,10001110
1955,00000000
1956,11101111
1957,00001000
1958,00000000
1959,00000000
1960,11111111
1961,11001100
1962,11101111
1963,00001111
1964,00000000
1965,11001110
1966,11111111
1967,00000000
1968,00001000
1969,00001100
1970,00000000
1971,11101111
1972,11001111
1973,00000000
1974,11001100
1975,11111111
1976,11111111
1977,10001010
1978,10001100
1979,00001000
1980,10001110
1981,10001110
1982,10101110
1983,10101111
1984,00000000
1985,11111111
1986,11001111
1987,00001000
1988,11001111
1989,00000000
1990,00001000
1991,11111111
1992,00000000
1993,00001000
1994,00000000
1995,11111111
1996,00001000
1997,00000000
1998,11111111
1999,10101110
2000,00001000
2001,11101111
2002,10001111
2003,11111111
2004,10001111
2005,11001111
2006,00000000
2007,11101111
2008,10001110
2009,11101111
2010,00000000
2011,00000000
2012,00001010
2013,00000000
2014,11111111
2015,10101111
2016,00001010
2017,00001000
2018,00000000
2019,11101111
2020,11001110
2021,10101111
2022,00000000
2023,11101111
2024,11001111
2025,00000000
2026,00000000
2027,00000000
2028,00000000
2029,00000000
2030,00000000
2031,00000000
2032,11111111
2033,00000000
2034,11001110
2035,11111111
2036,11001111
2037,11111111
2038,10001110
2039,00001000
2040,11001111
2041,10101111
2042,11001111
2043,00001110
2044,11001100
2045,11101111
2046,00001000
2047,00000000
2048,10101111
2049,11101110
2050,00000000
2051,10001111
2052,10001110
2053,11111111
2054,00000000
2055,10001111
2056,11001110
2057,00001000
2058,11111111
2059,11101111
2060,10101111
2061,00000000
2062,00001000
2063,00000000
2064,00000000
2065,11001111
2066,11001110
2067,10101110
2068,00001010
2069,00000000
2070,00000000
2071,00001000
2072,11001111
2073,11101111
2074,00000000
2075,00000000
2076,00000000
2077,00001000
2078,11001110
2079,10101110
2080,11001111
2081,11001110
2082,00000000
2083,11001110
2084,00000000
2085,10001000
2086,00000000
2087,00001010
2088,11001111
2089,11001111
2090,00001000
2091,00001010
2092,00001000
2093,00000000
2094,00000000
2095,11001111
2096,00000000
2097,11101111
2098,10001111
2099,10001111
2100,11001111
2101,11101111
2102,00000000
2103,10001110
2104,10001010
2105,00000000
2106,00001000
2107,10001110
2108,11001111
2109,11001110
2110,00001111
2111,00001010
2112,11001111
2113,11111111
2114,10101111
2115,00001010
2116,00000000
2117,10101010
