,"tp53, akt1, ikbkb: (000, 001, 010, 011, 100, 101, 110, 111)"
1351,00000000
1352,11101110
1353,00000000
1354,10001110
1355,00000000
1356,11001110
1357,00001000
1358,00000000
1359,00001000
1360,00000000
1361,00000000
1362,11001110
1363,10101110
1364,00001010
1365,00000000
1366,00000000
1367,00001000
1368,00000000
1369,00000000
1370,00000000
1371,00001000
1372,11001110
1373,10101110
1374,11001110
1375,00000000
1376,11001110
1377,00000000
1378,10001000
1379,00000000
1380,00001010
1381,00001000
1382,00001010
1383,00001000
1384,00000000
1385,00000000
1386,00000000
1387,00000000
1388,10001110
1389,10001010
1390,00000000
1391,00001000
1392,10001110
1393,11001110
1394,00001010
1395,00001010
1396,00000000
1397,10101010
1398,00001000
1399,00000000
1400,10001110
1401,10001110
1402,00000000
1403,00000000
1404,10001010
1405,10001010
1406,00001110
1407,00000000
1408,10001110
1409,00001000
1410,00000000
1411,00000000
1412,10001010
1413,10101010
1414,00001000
1415,00000000
1416,00000000
1417,00001000
1418,00001010
1419,10001010
1420,10001010
1421,00000000
1422,00000000
1423,00001010
1424,00001100
1425,11001110
1426,00000000
1427,10001110
1428,00001000
1429,10001110
1430,00001110
1431,10001110
1432,00000000
1433,10001110
1434,00001110
1435,00001000
1436,00000000
1437,00001010
1438,00000000
1439,00000000
1440,00001000
1441,00001000
1442,00000000
1443,00001000
1444,00000000
1445,10001000
1446,11101110
1447,00000000
1448,00001010
1449,00000000
1450,10001110
1451,00001000
1452,00000000
1453,10101110
1454,00000000
1455,10101110
1456,00000000
1457,00000000
1458,00000000
1459,10001100
1460,00001000
1461,00000000
1462,00001000
1463,00001010
1464,00000000
1465,10101010
1466,10101010
1467,00000000
1468,11101110
1469,00000000
1470,10001110
1471,10001000
1472,10001110
1473,00001100
1474,10101010
1475,00000000
1476,00001000
1477,00000000
1478,10001010
1479,00000000
1480,00001110
1481,10001110
1482,00001000
1483,00000000
1484,00000000
1485,00000000
1486,10001110
1487,00001110
1488,11101110
1489,00000000
1490,10001010
1491,00000000
1492,00000000
1493,00000000
1494,00000000
1495,00000000
1496,11001110
1497,11001110
1498,10001010
1499,00001010
1500,10001000
1501,00001000
1502,00000000
1503,00001000
1504,00000000
1505,10001110
1506,00000000
1507,00001000
1508,00001000
1509,00000000
1510,10001110
1511,00000000
1512,11001110
1513,00001000
1514,00000000
1515,10001110
1516,00000000
1517,00001100
1518,00001010
1519,00000000
1520,10001110
1521,00001000
1522,00000000
1523,10101110
1524,10101110
1525,00000000
1526,10101010
1527,00000000
1528,00000000
1529,00000000
1530,10001000
1531,10001010
1532,00000000
1533,00000000
1534,11001110
1535,10101010
1536,00000000
1537,00000000
1538,00000000
1539,00000000
1540,00000000
1541,00000000
1542,00000000
1543,10001010
1544,00000000
1545,00000000
1546,00001010
1547,10101110
1548,00000000
1549,00000000
1550,10001110
1551,10001010
1552,00001000
1553,10001110
1554,00001010
1555,00000000
1556,00000000
1557,00001110
1558,10001110
1559,10001110
1560,00000000
1561,00001000
1562,00000000
1563,00000000
1564,10001110
1565,00000000
1566,10001000
1567,11001110
1568,00000000
1569,00000000
1570,10001000
1571,00000000
1572,00001010
1573,10001110
1574,10001110
1575,00000000
1576,10001010
1577,10001110
1578,00000000
1579,00001000
1580,00001100
1581,00001000
1582,00000000
1583,00001000
1584,10101110
1585,00001000
1586,10101110
1587,00000000
1588,00000000
1589,10001000
1590,10101010
1591,10101110
1592,00000000
1593,11101110
1594,10001000
1595,10001010
