Time	TH	ErrTH	H	Prob[<nil>]	ErrProb[<nil>]	Prob[C]	ErrProb[C]	Prob[A--C]	ErrProb[A--C]	Prob[A--B--C]	ErrProb[A--B--C]	Prob[B--C]	ErrProb[B--C]	
1.4400	0.0057	0.0007	0.6481	0.901164	0.004215	0.012862	0.001560	0.039432	0.002750	0.014962	0.001713	0.031580	0.002462	
1.4500	0.0057	0.0007	0.6410	0.902813	0.004184	0.013011	0.001567	0.038910	0.002731	0.015454	0.001739	0.029812	0.002392	
1.4600	0.0061	0.0007	0.6366	0.903906	0.004160	0.013909	0.001608	0.038756	0.002725	0.015435	0.001736	0.027993	0.002310	
1.4700	0.0064	0.0007	0.6295	0.905447	0.004133	0.014581	0.001663	0.038532	0.002721	0.015495	0.001739	0.025945	0.002229	
1.4800	0.0065	0.0007	0.6237	0.906680	0.004105	0.014749	0.001665	0.038195	0.002703	0.015713	0.001746	0.024662	0.002178	
1.4900	0.0065	0.0007	0.6148	0.908455	0.004070	0.014809	0.001676	0.037702	0.002692	0.015849	0.001761	0.023185	0.002113	
1.5000	0.0063	0.0007	0.6069	0.909836	0.004045	0.014426	0.001652	0.037714	0.002693	0.015338	0.001732	0.022685	0.002089	
1.5100	0.0062	0.0007	0.5990	0.911275	0.004016	0.014145	0.001647	0.037565	0.002684	0.015088	0.001708	0.021927	0.002056	
1.5200	0.0062	0.0007	0.5947	0.912153	0.003999	0.014145	0.001647	0.037064	0.002669	0.015108	0.001716	0.021530	0.002039	
1.5300	0.0057	0.0007	0.5831	0.914090	0.003957	0.012869	0.001567	0.037073	0.002670	0.014555	0.001687	0.021414	0.002036	
1.5400	0.0055	0.0007	0.5783	0.914965	0.003942	0.012621	0.001565	0.036726	0.002658	0.014408	0.001676	0.021279	0.002033	
1.5500	0.0058	0.0007	0.5758	0.915559	0.003927	0.013178	0.001587	0.036438	0.002647	0.014562	0.001690	0.020264	0.001983	
1.5600	0.0056	0.0007	0.5680	0.916920	0.003898	0.012730	0.001565	0.036354	0.002646	0.014480	0.001686	0.019516	0.001950	
1.5700	0.0052	0.0007	0.5606	0.918168	0.003870	0.011922	0.001513	0.036271	0.002642	0.014326	0.001673	0.019312	0.001939	
1.5800	0.0050	0.0006	0.5534	0.919466	0.003843	0.011401	0.001475	0.035675	0.002619	0.014143	0.001653	0.019315	0.001929	
1.5900	0.0048	0.0006	0.5459	0.920941	0.003811	0.010938	0.001448	0.034675	0.002585	0.014641	0.001691	0.018804	0.001909	
1.6000	0.0048	0.0006	0.5401	0.921966	0.003789	0.010890	0.001443	0.034460	0.002578	0.014325	0.001675	0.018359	0.001886	
1.6100	0.0046	0.0006	0.5334	0.923143	0.003762	0.010408	0.001414	0.034139	0.002566	0.014285	0.001675	0.018024	0.001876	
1.6200	0.0039	0.0006	0.5235	0.924675	0.003724	0.008935	0.001305	0.034010	0.002560	0.014417	0.001679	0.017962	0.001877	
1.6300	0.0037	0.0006	0.5149	0.926194	0.003694	0.008459	0.001276	0.033548	0.002543	0.014845	0.001704	0.016954	0.001819	
1.6400	0.0035	0.0005	0.5085	0.927349	0.003665	0.007937	0.001226	0.032766	0.002513	0.015118	0.001711	0.016831	0.001804	
1.6500	0.0033	0.0005	0.5031	0.928246	0.003646	0.007579	0.001198	0.032465	0.002503	0.014855	0.001702	0.016855	0.001807	
1.6600	0.0033	0.0005	0.4998	0.928853	0.003634	0.007605	0.001209	0.032312	0.002498	0.014659	0.001690	0.016572	0.001791	
1.6700	0.0032	0.0005	0.4949	0.929629	0.003614	0.007224	0.001173	0.032167	0.002490	0.014434	0.001675	0.016546	0.001792	
1.6800	0.0032	0.0005	0.4911	0.930348	0.003596	0.007383	0.001184	0.031964	0.002487	0.014345	0.001674	0.015959	0.001758	
1.6900	0.0030	0.0005	0.4851	0.931224	0.003577	0.006884	0.001153	0.032009	0.002488	0.013508	0.001625	0.016375	0.001784	
1.7000	0.0031	0.0005	0.4827	0.931675	0.003564	0.007046	0.001164	0.031808	0.002480	0.012765	0.001577	0.016705	0.001801	
1.7100	0.0031	0.0005	0.4801	0.932181	0.003554	0.006954	0.001158	0.031319	0.002460	0.012830	0.001578	0.016716	0.001800	
1.7200	0.0033	0.0005	0.4796	0.932400	0.003551	0.007575	0.001218	0.031127	0.002454	0.012559	0.001573	0.016340	0.001788	
1.7300	0.0032	0.0005	0.4753	0.933098	0.003528	0.007296	0.001185	0.031043	0.002452	0.012557	0.001573	0.016005	0.001775	
1.7400	0.0030	0.0005	0.4706	0.933875	0.003511	0.006879	0.001147	0.030592	0.002433	0.012342	0.001551	0.016311	0.001779	
1.7500	0.0027	0.0005	0.4631	0.934992	0.003481	0.006178	0.001081	0.030540	0.002432	0.012107	0.001542	0.016184	0.001777	
